Dealer_ID,Product_ID,Date,Quantity,Consumption,Location,Year,Month,Day,DayOfWeek,IsWeekend,Season,Lag_Quantity,Lag_Consumption,RollingAvg_Quantity_7,RollingAvg_Consumption_7,RollingAvg_Quantity_30,RollingAvg_Consumption_30,Consumption_Rate
D000,P000,2022-02-12,58.0,15.0,New York,2022.0,2.0,12.0,5.0,1,Winter,98.0,9.0,60.0,12.142857142857142,57.86666666666667,10.9,0.25862068965517243
D000,P000,2022-02-13,46.0,7.0,Chicago,2022.0,2.0,13.0,6.0,1,Winter,58.0,15.0,62.285714285714285,12.428571428571429,57.36666666666667,10.933333333333334,0.15217391304347827
D000,P000,2022-02-14,53.0,19.0,Chicago,2022.0,2.0,14.0,0.0,0,Winter,46.0,7.0,65.85714285714286,12.857142857142858,58.13333333333333,11.4,0.3584905660377358
D000,P000,2022-02-15,94.0,13.0,Los Angeles,2022.0,2.0,15.0,1.0,0,Winter,53.0,19.0,66.28571428571429,12.0,58.5,11.566666666666666,0.13829787234042554
D000,P000,2022-02-16,16.0,12.0,Los Angeles,2022.0,2.0,16.0,2.0,0,Winter,94.0,13.0,65.0,12.857142857142858,56.833333333333336,11.433333333333334,0.75
D000,P000,2022-02-17,49.0,5.0,Los Angeles,2022.0,2.0,17.0,3.0,0,Winter,16.0,12.0,59.142857142857146,11.428571428571429,56.43333333333333,11.266666666666667,0.10204081632653061
D000,P000,2022-02-18,79.0,10.0,New York,2022.0,2.0,18.0,4.0,0,Winter,49.0,5.0,56.42857142857143,11.571428571428571,56.666666666666664,11.033333333333333,0.12658227848101267
D000,P000,2022-02-19,99.0,5.0,Chicago,2022.0,2.0,19.0,5.0,1,Winter,79.0,10.0,62.285714285714285,10.142857142857142,59.36666666666667,11.033333333333333,0.050505050505050504
D000,P000,2022-02-20,94.0,9.0,Chicago,2022.0,2.0,20.0,6.0,1,Winter,99.0,5.0,69.14285714285714,10.428571428571429,61.1,10.766666666666667,0.09574468085106383
D000,P000,2022-02-21,96.0,6.0,Chicago,2022.0,2.0,21.0,0.0,0,Winter,94.0,9.0,75.28571428571429,8.571428571428571,62.166666666666664,10.533333333333333,0.0625
D000,P000,2022-02-22,26.0,10.0,Chicago,2022.0,2.0,22.0,1.0,0,Winter,96.0,6.0,65.57142857142857,8.142857142857142,62.06666666666667,10.466666666666667,0.38461538461538464
D000,P000,2022-02-23,20.0,5.0,Chicago,2022.0,2.0,23.0,2.0,0,Winter,26.0,10.0,66.14285714285714,7.142857142857143,61.766666666666666,10.066666666666666,0.25
D000,P000,2022-02-24,49.0,11.0,Chicago,2022.0,2.0,24.0,3.0,0,Winter,20.0,5.0,66.14285714285714,8.0,60.266666666666666,10.033333333333333,0.22448979591836735
D000,P000,2022-02-25,65.0,10.0,New York,2022.0,2.0,25.0,4.0,0,Winter,49.0,11.0,64.14285714285714,8.0,60.233333333333334,10.133333333333333,0.15384615384615385
D000,P000,2022-02-26,16.0,7.0,Los Angeles,2022.0,2.0,26.0,5.0,1,Winter,65.0,10.0,52.285714285714285,8.285714285714286,57.9,9.866666666666667,0.4375
D000,P000,2022-02-27,91.0,14.0,Chicago,2022.0,2.0,27.0,6.0,1,Winter,16.0,7.0,51.857142857142854,9.0,58.06666666666667,10.166666666666666,0.15384615384615385
D000,P000,2022-02-28,87.0,8.0,Chicago,2022.0,2.0,28.0,0.0,0,Winter,91.0,14.0,50.57142857142857,9.285714285714286,59.46666666666667,10.133333333333333,0.09195402298850575
D000,P000,2022-03-01,23.0,5.0,Los Angeles,2022.0,3.0,1.0,1.0,0,Spring,87.0,8.0,50.142857142857146,8.571428571428571,57.93333333333333,9.9,0.21739130434782608
D000,P000,2022-03-02,12.0,8.0,New York,2022.0,3.0,2.0,2.0,0,Spring,23.0,5.0,49.0,9.0,55.86666666666667,9.766666666666667,0.6666666666666666
D000,P000,2022-03-03,55.0,11.0,New York,2022.0,3.0,3.0,3.0,0,Spring,12.0,8.0,49.857142857142854,9.0,55.333333333333336,9.866666666666667,0.2
D000,P000,2022-03-04,57.0,18.0,New York,2022.0,3.0,4.0,4.0,0,Spring,55.0,11.0,48.714285714285715,10.142857142857142,56.766666666666666,10.166666666666666,0.3157894736842105
D000,P000,2022-03-05,48.0,14.0,Los Angeles,2022.0,3.0,5.0,5.0,1,Spring,57.0,18.0,53.285714285714285,11.142857142857142,55.233333333333334,10.4,0.2916666666666667
D000,P000,2022-03-06,44.0,5.0,New York,2022.0,3.0,6.0,6.0,1,Spring,48.0,14.0,46.57142857142857,9.857142857142858,55.3,10.266666666666667,0.11363636363636363
D000,P000,2022-03-07,39.0,12.0,New York,2022.0,3.0,7.0,0.0,0,Spring,44.0,5.0,39.714285714285715,10.428571428571429,55.93333333333333,10.3,0.3076923076923077
D000,P000,2022-03-08,98.0,5.0,Chicago,2022.0,3.0,8.0,1.0,0,Spring,39.0,12.0,50.42857142857143,10.428571428571429,58.2,10.3,0.05102040816326531
D000,P000,2022-03-09,11.0,11.0,New York,2022.0,3.0,9.0,2.0,0,Spring,98.0,5.0,50.285714285714285,10.857142857142858,57.63333333333333,10.133333333333333,1.0
D000,P000,2022-03-10,74.0,7.0,Chicago,2022.0,3.0,10.0,3.0,0,Spring,11.0,11.0,53.0,10.285714285714286,57.06666666666667,9.733333333333333,0.0945945945945946
D000,P000,2022-03-11,92.0,7.0,Chicago,2022.0,3.0,11.0,4.0,0,Spring,74.0,7.0,58.0,8.714285714285714,59.3,9.766666666666667,0.07608695652173914
D000,P000,2022-03-12,22.0,6.0,New York,2022.0,3.0,12.0,5.0,1,Spring,92.0,7.0,54.285714285714285,7.571428571428571,57.03333333333333,9.466666666666667,0.2727272727272727
D000,P000,2022-03-13,53.0,9.0,Los Angeles,2022.0,3.0,13.0,6.0,1,Spring,22.0,6.0,55.57142857142857,8.142857142857142,55.53333333333333,9.466666666666667,0.16981132075471697
D000,P000,2022-03-14,87.0,12.0,Chicago,2022.0,3.0,14.0,0.0,0,Spring,53.0,9.0,62.42857142857143,8.142857142857142,56.5,9.366666666666667,0.13793103448275862
D000,P000,2022-03-15,60.0,12.0,Los Angeles,2022.0,3.0,15.0,1.0,0,Spring,87.0,12.0,57.0,9.142857142857142,56.96666666666667,9.533333333333333,0.2
D000,P000,2022-03-16,28.0,10.0,Chicago,2022.0,3.0,16.0,2.0,0,Spring,60.0,12.0,59.42857142857143,9.0,56.13333333333333,9.233333333333333,0.35714285714285715
D000,P000,2022-03-17,31.0,19.0,Chicago,2022.0,3.0,17.0,3.0,0,Spring,28.0,10.0,53.285714285714285,10.714285714285714,54.03333333333333,9.433333333333334,0.6129032258064516
D000,P000,2022-03-18,18.0,11.0,New York,2022.0,3.0,18.0,4.0,0,Spring,31.0,19.0,42.714285714285715,11.285714285714286,54.1,9.4,0.6111111111111112
D000,P000,2022-03-19,77.0,5.0,Los Angeles,2022.0,3.0,19.0,5.0,1,Spring,18.0,11.0,50.57142857142857,11.142857142857142,55.03333333333333,9.4,0.06493506493506493
D000,P000,2022-03-20,58.0,8.0,New York,2022.0,3.0,20.0,6.0,1,Spring,77.0,5.0,51.285714285714285,11.0,54.333333333333336,9.333333333333334,0.13793103448275862
D000,P000,2022-03-21,79.0,9.0,Los Angeles,2022.0,3.0,21.0,0.0,0,Spring,58.0,8.0,50.142857142857146,10.571428571428571,53.666666666666664,9.466666666666667,0.11392405063291139
D000,P000,2022-03-22,69.0,11.0,Chicago,2022.0,3.0,22.0,1.0,0,Spring,79.0,9.0,51.42857142857143,10.428571428571429,52.833333333333336,9.533333333333333,0.15942028985507245
D000,P000,2022-03-23,17.0,7.0,New York,2022.0,3.0,23.0,2.0,0,Spring,69.0,11.0,49.857142857142854,10.0,50.2,9.566666666666666,0.4117647058823529
D000,P000,2022-03-24,10.0,17.0,Los Angeles,2022.0,3.0,24.0,3.0,0,Spring,17.0,7.0,46.857142857142854,9.714285714285714,49.666666666666664,9.8,1.7
D000,P000,2022-03-25,67.0,10.0,Chicago,2022.0,3.0,25.0,4.0,0,Spring,10.0,17.0,53.857142857142854,9.571428571428571,51.233333333333334,9.966666666666667,0.14925373134328357
D000,P000,2022-03-26,78.0,7.0,Los Angeles,2022.0,3.0,26.0,5.0,1,Spring,67.0,10.0,54.0,9.857142857142858,52.2,9.833333333333334,0.08974358974358974
D000,P000,2022-03-27,31.0,5.0,New York,2022.0,3.0,27.0,6.0,1,Spring,78.0,7.0,50.142857142857146,9.428571428571429,51.06666666666667,9.666666666666666,0.16129032258064516
D000,P000,2022-03-28,49.0,17.0,Los Angeles,2022.0,3.0,28.0,0.0,0,Spring,31.0,5.0,45.857142857142854,10.571428571428571,52.166666666666664,10.0,0.3469387755102041
D000,P000,2022-03-29,37.0,11.0,New York,2022.0,3.0,29.0,1.0,0,Spring,49.0,17.0,41.285714285714285,10.571428571428571,50.36666666666667,9.9,0.2972972972972973
D000,P000,2022-03-30,86.0,18.0,New York,2022.0,3.0,30.0,2.0,0,Spring,37.0,11.0,51.142857142857146,12.142857142857142,50.333333333333336,10.233333333333333,0.20930232558139536
D000,P000,,93.0,7.0,New York,,,,,0,Fall,86.0,18.0,63.0,10.714285714285714,52.666666666666664,10.3,0.07526881720430108
D000,P000,,51.0,12.0,New York,,,,,0,Fall,93.0,7.0,60.714285714285715,11.0,53.96666666666667,10.433333333333334,0.23529411764705882
D000,P000,,51.0,12.0,New York,,,,,0,Fall,51.0,12.0,56.857142857142854,11.714285714285714,53.833333333333336,10.466666666666667,0.23529411764705882
D000,P001,2022-01-01,10.0,14.0,Chicago,2022.0,1.0,1.0,5.0,1,Winter,0.0,0.0,10.0,14.0,10.0,14.0,1.4
D000,P001,2022-01-02,39.0,9.0,Chicago,2022.0,1.0,2.0,6.0,1,Winter,10.0,14.0,24.5,11.5,24.5,11.5,0.23076923076923078
D000,P001,2022-01-03,61.0,14.0,New York,2022.0,1.0,3.0,0.0,0,Winter,39.0,9.0,36.666666666666664,12.333333333333334,36.666666666666664,12.333333333333334,0.22950819672131148
D000,P001,2022-01-04,94.0,6.0,Chicago,2022.0,1.0,4.0,1.0,0,Winter,61.0,14.0,51.0,10.75,51.0,10.75,0.06382978723404255
D000,P001,2022-01-05,40.0,6.0,Los Angeles,2022.0,1.0,5.0,2.0,0,Winter,94.0,6.0,48.8,9.8,48.8,9.8,0.15
D000,P001,2022-01-06,76.0,17.0,New York,2022.0,1.0,6.0,3.0,0,Winter,40.0,6.0,53.333333333333336,11.0,53.333333333333336,11.0,0.2236842105263158
D000,P001,2022-01-07,19.0,6.0,Chicago,2022.0,1.0,7.0,4.0,0,Winter,76.0,17.0,48.42857142857143,10.285714285714286,48.42857142857143,10.285714285714286,0.3157894736842105
D000,P001,2022-01-08,43.0,12.0,Los Angeles,2022.0,1.0,8.0,5.0,1,Winter,19.0,6.0,53.142857142857146,10.0,47.75,10.5,0.27906976744186046
D000,P001,2022-01-09,44.0,5.0,Los Angeles,2022.0,1.0,9.0,6.0,1,Winter,43.0,12.0,53.857142857142854,9.428571428571429,47.333333333333336,9.88888888888889,0.11363636363636363
D000,P001,2022-01-10,26.0,6.0,Los Angeles,2022.0,1.0,10.0,0.0,0,Winter,44.0,5.0,48.857142857142854,8.285714285714286,45.2,9.5,0.23076923076923078
D000,P001,2022-01-11,23.0,6.0,Chicago,2022.0,1.0,11.0,1.0,0,Winter,26.0,6.0,38.714285714285715,8.285714285714286,43.18181818181818,9.181818181818182,0.2608695652173913
D000,P001,2022-01-12,14.0,12.0,New York,2022.0,1.0,12.0,2.0,0,Winter,23.0,6.0,35.0,9.142857142857142,40.75,9.416666666666666,0.8571428571428571
D000,P001,2022-01-12,14.0,12.0,New York,2022.0,1.0,12.0,2.0,0,Winter,14.0,12.0,26.142857142857142,8.428571428571429,38.69230769230769,9.615384615384615,0.8571428571428571
D000,P001,2022-01-13,95.0,10.0,Chicago,2022.0,1.0,13.0,3.0,0,Winter,14.0,12.0,37.0,9.0,42.714285714285715,9.642857142857142,0.10526315789473684
D000,P001,2022-01-14,50.0,7.0,Los Angeles,2022.0,1.0,14.0,4.0,0,Winter,95.0,10.0,38.0,8.285714285714286,43.2,9.466666666666667,0.14
D000,P001,2022-01-14,50.0,7.0,Los Angeles,2022.0,1.0,14.0,4.0,0,Winter,50.0,7.0,38.857142857142854,8.571428571428571,43.625,9.3125,0.14
D000,P001,2022-01-15,82.0,16.0,New York,2022.0,1.0,15.0,5.0,1,Winter,50.0,7.0,46.857142857142854,10.0,45.88235294117647,9.705882352941176,0.1951219512195122
D000,P001,2022-01-16,50.0,9.0,New York,2022.0,1.0,16.0,6.0,1,Winter,82.0,16.0,50.714285714285715,10.428571428571429,46.111111111111114,9.666666666666666,0.18
D000,P001,2022-01-17,97.0,14.0,New York,2022.0,1.0,17.0,0.0,0,Winter,50.0,9.0,62.57142857142857,10.714285714285714,48.78947368421053,9.894736842105264,0.14432989690721648
D000,P001,2022-01-18,38.0,7.0,Los Angeles,2022.0,1.0,18.0,1.0,0,Winter,97.0,14.0,66.0,10.0,48.25,9.75,0.18421052631578946
D000,P001,2022-01-19,86.0,18.0,New York,2022.0,1.0,19.0,2.0,0,Winter,38.0,7.0,64.71428571428571,11.142857142857142,50.04761904761905,10.142857142857142,0.20930232558139536
D000,P001,2022-01-20,55.0,12.0,Los Angeles,2022.0,1.0,20.0,3.0,0,Winter,86.0,18.0,65.42857142857143,11.857142857142858,50.27272727272727,10.227272727272727,0.21818181818181817
D000,P001,2022-01-21,89.0,11.0,Los Angeles,2022.0,1.0,21.0,4.0,0,Winter,55.0,12.0,71.0,12.428571428571429,51.95652173913044,10.26086956521739,0.12359550561797752
D000,P001,2022-01-22,21.0,9.0,Los Angeles,2022.0,1.0,22.0,5.0,1,Winter,89.0,11.0,62.285714285714285,11.428571428571429,50.666666666666664,10.208333333333334,0.42857142857142855
D000,P001,2022-01-23,57.0,12.0,Los Angeles,2022.0,1.0,23.0,6.0,1,Winter,21.0,9.0,63.285714285714285,11.857142857142858,50.92,10.28,0.21052631578947367
D000,P001,2022-01-24,20.0,11.0,New York,2022.0,1.0,24.0,0.0,0,Winter,57.0,12.0,52.285714285714285,11.428571428571429,49.73076923076923,10.307692307692308,0.55
D000,P001,2022-01-25,53.0,14.0,New York,2022.0,1.0,25.0,1.0,0,Winter,20.0,11.0,54.42857142857143,12.428571428571429,49.851851851851855,10.444444444444445,0.2641509433962264
D000,P001,2022-01-26,48.0,12.0,Los Angeles,2022.0,1.0,26.0,2.0,0,Winter,53.0,14.0,49.0,11.571428571428571,49.785714285714285,10.5,0.25
D000,P001,2022-01-27,45.0,18.0,Los Angeles,2022.0,1.0,27.0,3.0,0,Winter,48.0,12.0,47.57142857142857,12.428571428571429,49.62068965517241,10.758620689655173,0.4
D000,P001,2022-01-28,84.0,13.0,Chicago,2022.0,1.0,28.0,4.0,0,Winter,45.0,18.0,46.857142857142854,12.714285714285714,50.766666666666666,10.833333333333334,0.15476190476190477
D000,P001,2022-01-29,46.0,18.0,Los Angeles,2022.0,1.0,29.0,5.0,1,Winter,84.0,13.0,50.42857142857143,14.0,51.96666666666667,10.966666666666667,0.391304347826087
D000,P001,2022-01-30,47.0,11.0,New York,2022.0,1.0,30.0,6.0,1,Winter,46.0,18.0,49.0,13.857142857142858,52.233333333333334,11.033333333333333,0.23404255319148937
D000,P001,2022-02-01,79.0,17.0,New York,2022.0,2.0,1.0,1.0,0,Winter,47.0,11.0,57.42857142857143,14.714285714285714,52.833333333333336,11.133333333333333,0.21518987341772153
D000,P001,2022-02-02,73.0,13.0,Los Angeles,2022.0,2.0,2.0,2.0,0,Winter,79.0,17.0,60.285714285714285,14.571428571428571,52.13333333333333,11.366666666666667,0.1780821917808219
D000,P001,2022-02-03,50.0,6.0,Chicago,2022.0,2.0,3.0,3.0,0,Winter,73.0,13.0,60.57142857142857,13.714285714285714,52.46666666666667,11.366666666666667,0.12
D000,P001,2022-02-04,32.0,9.0,Chicago,2022.0,2.0,4.0,4.0,0,Winter,50.0,6.0,58.714285714285715,12.428571428571429,51.0,11.1,0.28125
D000,P001,2022-02-04,32.0,9.0,Chicago,2022.0,2.0,4.0,4.0,0,Winter,32.0,9.0,51.285714285714285,11.857142857142858,51.43333333333333,11.2,0.28125
D000,P001,2022-02-05,26.0,8.0,New York,2022.0,2.0,5.0,5.0,1,Winter,32.0,9.0,48.42857142857143,10.428571428571429,50.86666666666667,11.066666666666666,0.3076923076923077
D000,P001,2022-02-06,57.0,11.0,New York,2022.0,2.0,6.0,6.0,1,Winter,26.0,8.0,49.857142857142854,10.428571428571429,51.3,11.266666666666667,0.19298245614035087
D000,P001,2022-02-07,61.0,19.0,New York,2022.0,2.0,7.0,0.0,0,Winter,57.0,11.0,47.285714285714285,10.714285714285714,52.46666666666667,11.7,0.3114754098360656
D000,P001,2022-02-08,47.0,14.0,Chicago,2022.0,2.0,8.0,1.0,0,Winter,61.0,19.0,43.57142857142857,10.857142857142858,53.266666666666666,11.966666666666667,0.2978723404255319
D000,P001,2022-02-09,57.0,14.0,New York,2022.0,2.0,9.0,2.0,0,Winter,47.0,14.0,44.57142857142857,12.0,54.7,12.033333333333333,0.24561403508771928
D000,P001,2022-02-10,79.0,19.0,New York,2022.0,2.0,10.0,3.0,0,Winter,57.0,14.0,51.285714285714285,13.428571428571429,56.86666666666667,12.266666666666667,0.24050632911392406
D000,P001,2022-02-11,91.0,5.0,Los Angeles,2022.0,2.0,11.0,4.0,0,Winter,79.0,19.0,59.714285714285715,12.857142857142858,56.733333333333334,12.1,0.054945054945054944
D000,P001,2022-02-12,41.0,6.0,Los Angeles,2022.0,2.0,12.0,5.0,1,Winter,91.0,5.0,61.857142857142854,12.571428571428571,56.43333333333333,12.066666666666666,0.14634146341463414
D000,P001,2022-02-13,29.0,19.0,Chicago,2022.0,2.0,13.0,6.0,1,Winter,41.0,6.0,57.857142857142854,13.714285714285714,55.733333333333334,12.466666666666667,0.6551724137931034
D000,P001,2022-02-14,65.0,7.0,New York,2022.0,2.0,14.0,0.0,0,Winter,29.0,19.0,58.42857142857143,12.0,55.166666666666664,12.166666666666666,0.1076923076923077
D000,P001,2022-02-15,63.0,8.0,New York,2022.0,2.0,15.0,1.0,0,Winter,65.0,7.0,60.714285714285715,11.142857142857142,55.6,12.133333333333333,0.12698412698412698
D000,P001,2022-02-16,56.0,16.0,Los Angeles,2022.0,2.0,16.0,2.0,0,Winter,63.0,8.0,60.57142857142857,11.428571428571429,54.233333333333334,12.2,0.2857142857142857
D000,P001,2022-02-17,92.0,5.0,Los Angeles,2022.0,2.0,17.0,3.0,0,Winter,56.0,16.0,62.42857142857143,9.428571428571429,56.03333333333333,12.133333333333333,0.05434782608695652
D000,P001,2022-02-18,29.0,6.0,New York,2022.0,2.0,18.0,4.0,0,Winter,92.0,5.0,53.57142857142857,9.571428571428571,54.13333333333333,11.733333333333333,0.20689655172413793
D000,P001,2022-02-19,31.0,6.0,Los Angeles,2022.0,2.0,19.0,5.0,1,Winter,29.0,6.0,52.142857142857146,9.571428571428571,53.333333333333336,11.533333333333333,0.1935483870967742
D000,P001,2022-02-20,45.0,7.0,Chicago,2022.0,2.0,20.0,6.0,1,Winter,31.0,6.0,54.42857142857143,7.857142857142857,51.86666666666667,11.4,0.15555555555555556
D000,P001,2022-02-21,38.0,14.0,Chicago,2022.0,2.0,21.0,0.0,0,Winter,45.0,7.0,50.57142857142857,8.857142857142858,52.43333333333333,11.566666666666666,0.3684210526315789
D000,P001,2022-02-22,24.0,8.0,Chicago,2022.0,2.0,22.0,1.0,0,Winter,38.0,14.0,45.0,8.857142857142858,51.333333333333336,11.433333333333334,0.3333333333333333
D000,P001,2022-02-23,82.0,17.0,Los Angeles,2022.0,2.0,23.0,2.0,0,Winter,24.0,8.0,48.714285714285715,9.0,53.4,11.633333333333333,0.2073170731707317
